file,parallel_5ths,parallel_8ves,voice_crossings,hidden_5ths_outer,hidden_8ves_outer,spacing_violations,large_leaps,augmented_leaps,HarmonicScore
sample_000.mid,3,3,0,0,0,1,1,0,8
sample_001.mid,2,4,1,0,0,1,0,0,8
sample_002.mid,3,1,1,0,0,1,0,0,6
sample_003.mid,3,6,0,0,0,0,0,0,9
sample_004.mid,8,0,5,1,0,1,0,1,16
sample_005.mid,1,1,0,0,0,0,2,1,5
sample_006.mid,1,2,2,0,0,0,1,0,6
sample_007.mid,2,1,0,0,0,0,0,0,3
sample_008.mid,2,5,1,0,0,0,1,1,10
sample_009.mid,0,0,3,0,0,1,0,0,4
sample_010.mid,4,4,0,1,0,0,0,0,9
sample_011.mid,5,1,0,0,0,1,1,0,8
sample_012.mid,1,3,2,0,0,1,0,0,7
sample_013.mid,2,0,0,0,0,0,3,0,5
sample_014.mid,7,1,2,1,0,0,0,0,11
sample_015.mid,1,2,3,0,0,0,0,0,6
sample_016.mid,2,6,0,0,0,2,0,0,10
sample_017.mid,0,2,2,0,0,2,1,1,8
sample_018.mid,2,1,0,0,0,1,0,0,4
sample_019.mid,3,2,2,0,0,1,0,0,8
sample_020.mid,3,6,1,0,0,1,0,1,12
sample_021.mid,4,4,0,0,0,0,0,0,8
sample_022.mid,0,2,0,0,0,0,0,0,2
sample_023.mid,0,2,0,0,0,0,0,0,2
sample_024.mid,1,0,2,0,0,0,1,0,4
sample_025.mid,2,1,0,0,0,2,1,0,6
sample_026.mid,4,3,0,1,0,0,0,0,8
sample_027.mid,1,2,5,0,0,0,0,2,10
sample_028.mid,3,3,0,1,0,0,1,0,8
sample_029.mid,2,0,0,0,0,0,1,0,3
sample_030.mid,3,1,0,1,0,0,0,0,5
sample_031.mid,0,0,0,0,1,0,1,1,3
sample_032.mid,1,2,1,0,0,0,2,0,6
sample_033.mid,1,3,0,1,1,0,4,0,10
sample_034.mid,4,0,1,0,0,0,1,0,6
sample_035.mid,4,4,3,0,0,1,1,0,13
sample_036.mid,6,2,1,0,0,0,0,0,9
sample_037.mid,6,2,1,0,0,0,0,0,9
sample_038.mid,0,4,1,0,0,0,1,0,6
sample_039.mid,0,0,0,0,0,0,1,0,1
sample_040.mid,0,0,2,0,0,0,0,0,2
sample_041.mid,3,0,0,0,0,0,0,0,3
sample_042.mid,1,2,1,0,0,2,2,0,8
sample_043.mid,1,2,0,0,0,0,2,0,5
sample_044.mid,2,0,1,0,0,0,1,1,5
sample_045.mid,1,0,1,0,1,0,1,0,4
sample_046.mid,2,1,1,1,0,0,0,0,5
sample_047.mid,0,4,2,0,1,0,2,0,9
sample_048.mid,3,2,1,0,0,0,0,0,6
sample_049.mid,0,0,1,0,0,0,0,0,1
sample_050.mid,6,0,1,0,0,0,0,0,7
sample_051.mid,3,0,2,0,0,0,0,0,5
sample_052.mid,0,0,0,0,0,2,0,0,2
sample_053.mid,2,3,0,0,0,0,1,1,7
sample_054.mid,1,3,0,0,1,0,0,0,5
sample_055.mid,5,4,0,0,0,0,1,0,10
sample_056.mid,2,0,0,1,0,0,0,1,4
sample_057.mid,2,1,1,0,1,0,1,0,6
sample_058.mid,4,2,1,0,0,0,2,0,9
sample_059.mid,3,8,0,0,0,1,0,0,12
sample_060.mid,4,0,0,0,0,0,0,0,4
sample_061.mid,1,0,0,1,0,2,1,0,5
sample_062.mid,1,0,0,1,0,0,1,0,3
sample_063.mid,5,5,5,0,0,0,1,0,16
sample_064.mid,1,4,1,0,0,0,1,1,8
sample_065.mid,2,1,2,0,0,1,3,1,10
sample_066.mid,0,1,1,0,0,1,1,0,4
sample_067.mid,2,0,0,0,0,2,1,1,6
sample_068.mid,3,5,0,0,0,0,1,1,10
sample_069.mid,5,0,2,0,0,0,1,0,8
sample_070.mid,2,2,0,0,0,0,2,0,6
sample_071.mid,4,1,0,1,0,0,0,0,6
sample_072.mid,3,3,1,0,0,0,0,0,7
sample_073.mid,1,4,0,0,0,0,0,0,5
sample_074.mid,4,3,1,0,0,0,0,0,8
sample_075.mid,0,1,1,0,0,1,0,0,3
sample_076.mid,2,1,1,1,0,1,1,0,7
sample_077.mid,2,1,2,0,0,0,1,0,6
sample_078.mid,2,1,1,0,0,1,1,0,6
sample_079.mid,1,0,3,0,0,1,1,0,6
sample_080.mid,1,0,2,0,0,0,2,0,5
sample_081.mid,1,0,4,0,1,0,2,0,8
sample_082.mid,4,3,1,1,1,0,1,0,11
sample_083.mid,4,4,3,0,1,0,0,0,12
sample_084.mid,5,1,0,0,0,1,0,0,7
sample_085.mid,2,2,0,0,0,0,0,0,4
sample_086.mid,0,7,0,0,1,0,0,0,8
sample_087.mid,2,2,0,1,0,2,0,1,8
sample_088.mid,3,1,0,0,0,0,0,0,4
sample_089.mid,2,4,0,0,0,0,0,0,6
sample_090.mid,1,0,0,0,0,0,1,0,2
sample_091.mid,0,2,2,1,0,0,2,0,7
sample_092.mid,3,1,0,0,0,1,1,0,6
sample_093.mid,2,2,0,0,0,0,0,2,6
sample_094.mid,4,0,2,1,0,1,2,0,10
sample_095.mid,3,0,1,1,0,1,1,0,7
sample_096.mid,6,0,3,0,0,0,2,0,11
sample_097.mid,2,3,1,0,0,0,2,0,8
sample_098.mid,1,0,2,0,0,1,3,0,7
sample_099.mid,4,2,0,0,0,0,0,0,6
